order_id,order_date,product_id,category,region,quantity,revenue
104493,20/12/2024,P03,STATIONERY, South ,1,$4.20
104267,10/11/2024,P01,electronics,North,3,74.97
101260,2024-07-27,P05,home,West,7,$103.25
100801,30 Apr 2024,P02,electronics,South,7,$66.50
103567,2024-04-22,P04,HOME,North,4,128.00
103291,27 Aug 2024,P06,home,South,2,16.60
103917,11-13-2024,P06,home,West,1,8.30
102229,28/09/2024,P07,electronics,West,7,$553.00
101153,08-30-2024,P06,home,South,1,$8.30
101380,22 Dec 2024,P07,electronics,North,2,$158.00
101510,03-12-2024,P02,electronics,East,4,38.00
100385,15/01/2024,P04,home,West,4,$128.00
101974,09 Dec 2024,P02,ELECTRONICS, West ,1,9.50
104906,2024-12-13,P08,stationery,East,1,6.40
101686,12-07-2024,P08,stationery, West ,5,$32.00
102177,03-08-2024,P04,home,South,3,96.00
104356,16 May 2024,P04,HOME, East ,5,$160.00
104424,05 Jan 2024,P03,stationery,West,6,$25.20
104998,03-16-2024,P06,home ,West,3,$24.90
104678,05/07/2024,P05,home,West,5,$73.75
101614,26 Jun 2024,P06,home, East ,1,8.30
103721,01-14-2024,P01,electronics,South,3,$74.97
104723,22 Mar 2024,P04,home,West,7,$224.00
104252,2024-05-09,P05,home,East,6,$88.50
101179,31 Aug 2024,P02,electronics , West ,6,$57.00
103100,17 Aug 2024,P01,ELECTRONICS,West,4,$99.96
104885,31 Oct 2024,P01,electronics,South,4,99.96
101100,05-19-2024,P07,electronics,West,5,$395.00
100322,2024-04-19,P01,electronics,North,2,$49.98
104203,09/09/2024,P04,home,East,1,$32.00
100622,07/02/2024,P05,home,North,5,73.75
103157,2024-12-15,P01,electronics,West,3,74.97
103789,2024-04-07,P02,ELECTRONICS,East,5,47.50
101544,2024-05-22,P01,ELECTRONICS,West,6,149.94
103533,07 Sep 2024,P02,electronics,West,1,$9.50
102335,05 Nov 2024,P06,HOME,North,3,$24.90
101612,26 Jan 2024,P02,electronics,West,6,$57.00
101493,10-12-2024,P02,electronics, East ,6,$57.00
103112,06/12/2024,P02,electronics, West ,7,66.50
101900,2024-11-14,P03,stationery,North,5,$21.00
103521,28/04/2024,P03,stationery,West,3,12.60
102360,2024-06-27,P01,ELECTRONICS,South,2,49.98
101888,2024-03-29,P07,electronics ,South,6,
102479,09-24-2024,P05,home,West,7,103.25
103552,2024-09-24,P02,electronics,East,7,$66.50
104918,27 Apr 2024,P02,ELECTRONICS, East ,4,38.00
103081,2024-03-27,P05,HOME,,2,29.50
102116,16/09/2024,P05,home,East,7,103.25
100521,29 Jan 2024,P01,electronics,North,1,$24.99
101783,25/11/2024,P07,electronics,East,4,$316.00
104553,27/01/2024,P06,home ,North,1,8.30
100595,2024-11-03,P02,electronics,South,6,57.00
100562,01/05/2024,P05,home,West,6,$88.50
104281,2024-05-06,P02,ELECTRONICS,West,3,$28.50
102008,08-09-2024,P08,STATIONERY,East,6,38.40
100957,2024-06-02,P08,stationery,West,6,$38.40
102123,2024-04-03,P08,STATIONERY, South ,3,$19.20
104987,05/06/2024,P02,electronics,,4,$38.00
100338,02-15-2024,P08,stationery,South,7,44.80
101947,06-28-2024,P02,electronics,North,7,$66.50
100909,22/08/2024,P01,ELECTRONICS,South,4,99.96
103474,20/08/2024,P04,home ,South,4,128.00
100625,19 Jul 2024,P01,electronics,North,2,$49.98
103180,06-12-2024,P06,home,West,4,33.20
101597,09-26-2024,P04,home,East,5,$160.00
100072,20 Sep 2024,P06,home, North ,6,49.80
103933,18/05/2024,P02,electronics, North ,7,$66.50
104903,2024-10-30,P01,electronics,North,1,24.99
104399,03-12-2024,P03,STATIONERY,North,2,8.40
102939,17/06/2024,P04,home, North ,7,224.00
104116,2024-04-18,P02,electronics,South,7,$66.50
102826,08/07/2024,P07,electronics,,3,$237.00
100748,03-29-2024,P04,HOME,,2,64.00
103681,11-22-2024,P04,HOME,South,6,$192.00
100721,04-07-2024,P06,home,South,7,58.10
103909,22 Feb 2024,P05,home,South,4,$59.00
102615,15 Oct 2024,P03,STATIONERY, North ,3,$12.60
104365,04-18-2024,P03,stationery,East,4,16.80
100054,10-22-2024,P01,electronics,East,6,149.94
103795,01/02/2024,P08,STATIONERY,North,4,$25.60
102467,11-30-2024,P04,home, East ,4,$128.00
104598,05 Feb 2024,P08,stationery,West,4,25.60
103845,2024-04-18,P01,electronics,South,5,$124.95
102889,2024-03-24,P06,home,East,1,$8.30
102367,2024-08-21,P05,home, North ,6,88.50
104146,2024-06-28,P04,HOME,North,7,224.00
103698,18/10/2024,P06,HOME, East ,7,$58.10
100375,2024-01-08,P08,stationery,South,3,$19.20
102510,07 Oct 2024,P03,STATIONERY,West,2,$8.40
101939,27 Aug 2024,P06,home,East,7,$58.10
103407,17 Nov 2024,P07,electronics,North,5,395.00
100981,17 May 2024,P05,home,East,5,73.75
103847,19 Jun 2024,P05,HOME,East,5,73.75
100418,01-06-2024,P03,stationery,West,4,16.80
101935,07-02-2024,P01,ELECTRONICS,West,2,$49.98
100341,06-19-2024,P08,STATIONERY,West,3,19.20
101838,02/12/2024,P05,home,East,2,29.50
103066,2024-07-05,P01,electronics,East,4,$99.96
